"  [ 146.213217906532179, -36.933361240102492 ] "
"  [ 145.198149405147205, -37.990937613665821 ] "
"  [ 145.233089996267125, -36.053298046949472 ] "
"  [ 146.312401155465324, -38.440239334319642 ] "
"  [ 144.989740298421708, -37.77651901095436 ] "
"  [ 145.134622983460645, -37.735300364446346 ] "
"  [ 144.935440872878445, -38.350680839910112 ] "
"  [ 145.161509404404796, -37.925093170694005 ] "
"  [ 146.406184032751014, -38.172930529464068 ] "
"  [ 146.406184032751014, -38.172930529464068 ] "
"  [ 145.222748787705598, -36.464990002892833 ] "
"  [ 144.447730181517016, -37.664799695318017 ] "
"  [ 145.362728805164096, -37.812648312846001 ] "
"  [ 144.285582866227543, -38.344250346443388 ] "
"  [ 144.496600261915489, -36.896739962321547 ] "
"  [ 146.277372248876588, -36.407603178119665 ] "
"  [ 144.934618311533313, -38.351208361656354 ] "
"  [ 145.191598960474579, -38.24546021141596 ] "
"  [ 144.701824367914725, -37.765090377710443 ] "
"  [ 144.701824367914725, -37.765090377710443 ] "
"  [ 145.007063544838616, -37.826420390215283 ] "
"  [ 145.00862003203224, -37.663830022361971 ] "
"  [ 146.475663856661015, -38.218029934665473 ] "
"  [ 144.296942225151298, -36.930198010071564 ] "
"  [ 145.250525568485131, -38.094025038795301 ] "
"  [ 146.444757251094302, -36.220688934700718 ] "
"  [ 145.04774017599064, -38.373829673731478 ] "
"  [ 146.943355857944795, -36.162835781558556 ] "
"  [ 144.384506541810708, -38.168685549293194 ] "
"  [ 145.37673694090077, -37.810447821753748 ] "
"  [ 145.307168168461516, -38.024329681491608 ] "
"  [ 145.309294456942183, -37.893489071584703 ] "
"  [ 145.083870880267938, -37.824345373989246 ] "
"  [ 143.668115777954, -38.743209532917803 ] "
"  [ 144.98639205356065, -37.688960599171729 ] "
"  [ 142.381167126936617, -35.747632068691331 ] "
"  [ 143.658410631623326, -37.473566673058464 ] "
"  [ 143.658410631623326, -37.473566673058464 ] "
"  [ 143.658410631623326, -37.473566673058464 ] "
"  [ 144.928299795454905, -37.788031190304586 ] "
"  [ 144.905659927108985, -37.78412652410892 ] "
"  [ 143.744250698692014, -37.525098948139963 ] "
"  [ 145.330720991268549, -37.558919645835161 ] "
"  [ 145.002121343302036, -37.690600127015685 ] "
"  [ 144.26391047233821, -37.598578819289521 ] "
"  [ 144.889379868681914, -37.289026524711183 ] "
"  [ 145.291061710778081, -38.107060205754649 ] "
"  [ 145.294471816591511, -36.632190977962885 ] "
"  [ 144.998730622648566, -37.938199764056108 ] "
"  [ 143.862620406927505, -37.541867793737502 ] "
"  [ 145.141441933689435, -37.709519113598255 ] "
"  [ 144.893939743535299, -37.858447827537219 ] "
"  [ 144.801209585484941, -37.800762010274106 ] "
"  [ 145.170595233088278, -37.621048715365291 ] "
"  [ 145.048483390099136, -37.241313319605233 ] "
"  [ 145.192322972315623, -37.816508172845481 ] "
"  [ 145.48663795975645, -38.119181511781314 ] "
"  [ 144.974868239320102, -37.75666971946503 ] "
"  [ 145.241959662344755, -38.171291821675354 ] "
"  [ 145.207321624786687, -38.3431787364119 ] "
"  [ 144.806520630388746, -37.829845334802158 ] "
"  [ 145.23957934456476, -37.898037372899758 ] "
"  [ 145.028078145355579, -37.627229802091804 ] "
"  [ 142.531757407213576, -38.391869644680618 ] "
"  [ 144.709968605806466, -37.859849038787154 ] "
"  [ 144.869900581653496, -37.729528220566046 ] "
"  [ 145.369578288587746, -37.885550911467128 ] "
"  [ 145.369578288587746, -37.885550911467128 ] "
"  [ 143.592367638845928, -38.339477764304782 ] "
"  [ 141.441588179785185, -38.225350424702718 ] "
"  [ 142.252700182762766, -37.830729991917366 ] "
"  [ 145.659837088693394, -35.982969997327359 ] "
"  [ 143.823312093766731, -36.600283197869523 ] "
"  [ 146.46853399175987, -36.140350491664719 ] "
"  [ 144.885353995110393, -37.669804682602184 ] "
"  [ 144.885353995110393, -37.669804682602184 ] "
"  [ 145.715043172266718, -38.557260849097077 ] "
"  [ 145.241030011983867, -38.463647017817529 ] "
"  [ 147.277668766612038, -37.848690679130314 ] "
"  [ 147.277668766612038, -37.848690679130314 ] "
"  [ 145.513220647975089, -37.542839894637495 ] "
"  [ 147.219500488166801, -36.456252654281023 ] "
"  [ 145.125881920353009, -37.807510193109898 ] "
"  [ 144.808121474043816, -37.812449942513275 ] "
"  [ 145.067051083584772, -37.977182351638973 ] "
"  [ 145.542556464860326, -37.677991235838697 ] "
"  [ 144.614402861788761, -37.874198277776919 ] "
"  [ 144.8203903954103, -37.77616296439173 ] "
"  [ 144.874140356796545, -37.797058001746016 ] "
"  [ 144.163907303630282, -37.335977271347801 ] "
"  [ 144.163907303630282, -37.335977271347801 ] "
"  [ 146.87049337333454, -36.353499250398649 ] "
"  [ 142.203610889119261, -34.47312989630089 ] "
"  [ 145.023750280797373, -37.48824990281225 ] "
"  [ 144.93681987208123, -37.69341922912772 ] "
"  [ 146.314043211077831, -36.367820728111958 ] "
"  [ 146.888870706099596, -36.110179601557128 ] "
"  [ 145.399128151710585, -37.410851590227466 ] "
"  [ 141.51637693211083, -38.032862714646654 ] "
"  [ 144.651059472942137, -36.432569765203986 ] "
"  [ 144.283211316364259, -37.603756584567392 ] "
"  [ 145.05693564983261, -37.830099468852865 ] "
"  [ 145.46197012977899, -36.352869999036756 ] "
"  [ 145.098100296058789, -37.896008080441497 ] "
"  [ 144.962313608153636, -37.714873917737108 ] "
"  [ 146.162950575805638, -38.206264259582753 ] "
"  [ 145.228749691868273, -37.848029613606094 ] "
"  [ 144.481124099470378, -38.193768578733305 ] "
"  [ 144.705279197344538, -37.398329873609882 ] "
"  [ 144.865643673225691, -37.770577870175835 ] "
"  [ 146.67548008140821, -38.012039546312842 ] "
"  [ 144.838509971587712, -37.152982277082799 ] "
"  [ 143.828128412512569, -37.576029809003245 ] "
"  [ 144.376850265837021, -38.179688064612293 ] "
"  [ 145.795300151872397, -38.080889115220266 ] "
